country_code,country_name_tourism,year,value,indicator,country_name_wdi,EN.POP.DNST,IS.AIR.PSGR,IT.NET.USER.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SH.MED.BEDS.ZS,SH.XPD.CHEX.PC.CD,SP.DYN.LE00.IN,SP.POP.TOTL
Z7,Europe & Central Asia,2024,,ST.INT.ARVL,Europe & Central Asia,,,91.3,29146936906252.2,1.51578451105712,31392.581963732,,,,928465742.0
Z7,Europe & Central Asia,2023,,ST.INT.ARVL,Europe & Central Asia,,,89.7,27617157896730.2,1.06944651645084,29835.7180523654,,,78.3870183177038,925640799.0
Z7,Europe & Central Asia,2022,,ST.INT.ARVL,Europe & Central Asia,33.7113857782742,,88.1,25700849227224.3,3.30115667013176,27782.8616206223,,2792.7297090373,77.8361130850842,925061269.0
Z7,Europe & Central Asia,2021,,ST.INT.ARVL,Europe & Central Asia,33.6979029983928,524360548.477,86.4,25513859723979.1,6.76642448122008,27591.4108786977,,2852.86365963793,76.7287266936821,924702975.0
Z7,Europe & Central Asia,2020,,ST.INT.ARVL,Europe & Central Asia,33.6715577314118,384036439.6275,83.4,22287615625568.5,-5.40788496163321,24121.4791035767,5.16780121872443,2520.12746004454,77.1757484533311,923973838.0
Z7,Europe & Central Asia,2019,1199188498.74821,ST.INT.ARVL,Europe & Central Asia,33.6025712416224,1181479874.428,80.3,23032792622187.5,1.85681538008799,24975.4166431436,5.17187547576436,2327.43781786241,78.3042683990405,922218554.0
Z7,Europe & Central Asia,2018,1157868194.79519,ST.INT.ARVL,Europe & Central Asia,33.4831810364487,1137091439.3497,78.1,23306977599232.0,2.12417324926466,25362.6758114579,5.2377881370857,2338.64499246625,78.0322195043255,918947897.0
7E,Europe & Central Asia (excluding high income),2024,,ST.INT.ARVL,Europe & Central Asia (excluding high income),,,87.3,2421839057172.22,3.75193909583378,9668.56270854153,,,,250485944.0
7E,Europe & Central Asia (excluding high income),2023,,ST.INT.ARVL,Europe & Central Asia (excluding high income),,,85.0,2134737666916.84,5.07584002798598,8571.4101866164,,,74.7987152767476,249053262.0
7E,Europe & Central Asia (excluding high income),2022,,ST.INT.ARVL,Europe & Central Asia (excluding high income),42.4595345234533,,82.6,1817993344339.27,3.10583446050099,7247.60981221236,,367.800587645895,74.5786223390478,250840400.0
7E,Europe & Central Asia (excluding high income),2021,,ST.INT.ARVL,Europe & Central Asia (excluding high income),42.6876214180152,88476243.262,79.6,1670340539745.28,9.04476793619193,6623.35137698536,,373.16498640504,72.8874329657208,252189631.0
7E,Europe & Central Asia (excluding high income),2020,,ST.INT.ARVL,Europe & Central Asia (excluding high income),42.4292551525623,57405263.207,74.5,1437141951950.75,0.295023816819608,5733.41761868436,4.51859796858209,313.055745223477,73.5589573506665,250660609.0
7E,Europe & Central Asia (excluding high income),2019,180880471.54687,ST.INT.ARVL,Europe & Central Asia (excluding high income),42.1016867213955,144851367.268,70.3,1498314108819.45,2.30648934350586,6020.63670154835,4.54206404380385,296.180728487163,74.821186588313,248863066.0
7E,Europe & Central Asia (excluding high income),2018,169084765.500036,ST.INT.ARVL,Europe & Central Asia (excluding high income),41.7285053240067,146715960.521,65.7,1468176796062.36,3.49739836760725,5952.2500299061,4.5873140290046,281.586252224146,74.5976698113306,246659127.0
T7,Europe & Central Asia (IDA & IBRD countries),2024,,ST.INT.ARVL,Europe & Central Asia (IDA & IBRD countries),,,89.6,6097876994310.88,3.67307586178063,13257.56545104,,,,459954508.0
T7,Europe & Central Asia (IDA & IBRD countries),2023,,ST.INT.ARVL,Europe & Central Asia (IDA & IBRD countries),,,87.5,5556261013139.78,3.84175701063837,12106.9240912296,,,74.7300564025194,458932506.0
T7,Europe & Central Asia (IDA & IBRD countries),2022,,ST.INT.ARVL,Europe & Central Asia (IDA & IBRD countries),20.0679600085481,,85.5,5263275218883.39,1.94747393676418,11410.4415323006,,728.57199061443,74.1916033602425,461268322.0
T7,Europe & Central Asia (IDA & IBRD countries),2021,,ST.INT.ARVL,Europe & Central Asia (IDA & IBRD countries),20.1618000551046,192532291.262,82.9,4628696552014.54,7.48057714504438,9987.98864443054,,639.965013531708,72.1539007720004,463426293.0
T7,Europe & Central Asia (IDA & IBRD countries),2020,,ST.INT.ARVL,Europe & Central Asia (IDA & IBRD countries),20.1498801587827,125376901.207,78.6,3916679848494.7,-1.46161084602306,8456.58174660206,5.67281360064584,564.114730090213,73.1523738187621,463151657.0
T7,Europe & Central Asia (IDA & IBRD countries),2019,331546366.211299,ST.INT.ARVL,Europe & Central Asia (IDA & IBRD countries),20.1064840709914,272506497.268,75.2,4175891551192.92,2.69803679804454,9034.43209100317,5.6254165106126,498.061307073762,74.5939674450224,462219596.0
T7,Europe & Central Asia (IDA & IBRD countries),2018,314784745.548675,ST.INT.ARVL,Europe & Central Asia (IDA & IBRD countries),20.0187796692359,263345266.521,71.7,4091510597189.56,3.73205201677239,8890.61596620106,5.70938104309336,471.944376606431,74.3004387516548,460205526.0
EU,European Union,2024,,ST.INT.ARVL,European Union,,,,19423319451330.3,1.02536782724844,43145.1566930223,,,,450185396.0
EU,European Union,2023,,ST.INT.ARVL,European Union,,,,18602672971721.6,0.455502395989242,41392.0743803078,,,81.4114503796876,449425965.0
EU,European Union,2022,,ST.INT.ARVL,European Union,112.018417981833,,,16996087955139.8,3.49214384701398,37962.8295010744,,3897.67038520266,80.7129818383208,447703403.0
EU,European Union,2021,,ST.INT.ARVL,European Union,111.646373360122,300510412.943,,17498522970845.2,6.35713585699249,39214.3660784805,,4226.05153967604,80.3071964400875,446227358.0
EU,European Union,2020,,ST.INT.ARVL,European Union,111.811112231477,224581685.7655,,15505708717748.9,-5.57343288385174,34698.4032089427,5.32343294782826,3742.85591172145,80.4414754678551,446870959.0
EU,European Union,2019,968873375.260994,ST.INT.ARVL,European Union,111.821235691404,752764693.96,,15809298345792.2,1.87715856708597,35374.6443827131,5.34035281260248,3496.99676183149,81.3194524901834,446910453.0
EU,European Union,2018,938485601.5625,ST.INT.ARVL,European Union,111.672659926438,691558405.268714,,16092154353714.7,2.0540414117159,36054.3954466385,5.40453793851897,3540.14525940428,81.0317510064821,446329890.0
F1,Fragile and conflict affected situations,2024,,ST.INT.ARVL,Fragile and conflict affected situations,,,39.6,1700322737099.85,1.65398949959956,1571.8004320986,,,,1081767572.0
F1,Fragile and conflict affected situations,2023,,ST.INT.ARVL,Fragile and conflict affected situations,,,38.0,1820234347800.98,1.96188263793231,1722.02197897444,,,63.3499447771075,1057033168.0
F1,Fragile and conflict affected situations,2022,,ST.INT.ARVL,Fragile and conflict affected situations,50.6796378484564,,37.2,1967015531216.77,1.23999531629563,1897.94911362527,,71.8773072908195,62.702271566254,1036390026.0
F1,Fragile and conflict affected situations,2021,,ST.INT.ARVL,Fragile and conflict affected situations,49.716034688003,25439426.874,34.9,1787068023408.49,2.44037029558743,1757.35640223069,,80.7243483362665,61.6086810439385,1016906998.0
F1,Fragile and conflict affected situations,2020,,ST.INT.ARVL,Fragile and conflict affected situations,48.6401896042009,18073886.216,30.7,1676505788095.81,-5.02311594136695,1685.09795088858,,74.501655286409,62.0663682854031,994901090.0
F1,Fragile and conflict affected situations,2019,,ST.INT.ARVL,Fragile and conflict affected situations,47.5710181630295,48048008.9975303,27.3,1842814574762.83,2.31366124062993,1893.88268968493,,73.9534928574941,62.1379545505037,973035228.0
F1,Fragile and conflict affected situations,2018,,ST.INT.ARVL,Fragile and conflict affected situations,46.535393078334,48929733.4403624,25.1,1735522724126.93,2.75006146665892,1823.31230335011,,75.6606661976252,61.7825083062786,951851595.0
XE,Heavily indebted poor countries (HIPC),2024,,ST.INT.ARVL,Heavily indebted poor countries (HIPC),,,,1132303151467.19,5.24377952313803,1202.76979412349,,,,941413026.0
XE,Heavily indebted poor countries (HIPC),2023,,ST.INT.ARVL,Heavily indebted poor countries (HIPC),,,,1045906705389.1,3.48120555757743,1140.19606998258,,,64.7159054177481,917304254.0
XE,Heavily indebted poor countries (HIPC),2022,,ST.INT.ARVL,Heavily indebted poor countries (HIPC),46.0900782945962,,,993480176910.217,4.99213593472254,1111.39185793698,,51.3241280772343,63.8404458555462,893906294.0
